# time(ps) 	kappa_ee_mean	kappa_ee_upper	kappa_ee_lower
4.320000e-01	2.603721e-01	nan	nan
4.330000e-01	2.996863e-01	nan	nan
4.340000e-01	3.423121e-01	nan	nan
4.350000e-01	3.877873e-01	nan	nan
4.360000e-01	4.356237e-01	nan	nan
4.370000e-01	4.853112e-01	nan	nan
4.380000e-01	5.363241e-01	nan	nan
4.390000e-01	5.881258e-01	nan	nan
4.400000e-01	6.401750e-01	nan	nan
4.410000e-01	6.919305e-01	nan	nan
4.420000e-01	7.428572e-01	nan	nan
4.430000e-01	7.924318e-01	nan	nan
4.440000e-01	8.401473e-01	nan	nan
4.450000e-01	8.855188e-01	nan	nan
4.460000e-01	9.280882e-01	nan	nan
4.470000e-01	9.674285e-01	nan	nan
4.480000e-01	1.003148e+00	nan	nan
4.490000e-01	1.034895e+00	nan	nan
4.500000e-01	1.062359e+00	nan	nan
4.510000e-01	1.085277e+00	nan	nan
4.520000e-01	1.103431e+00	nan	nan
4.530000e-01	1.116656e+00	nan	nan
4.540000e-01	1.124836e+00	nan	nan
4.550000e-01	1.127907e+00	nan	nan
4.560000e-01	1.125858e+00	nan	nan
4.570000e-01	1.118727e+00	nan	nan
4.580000e-01	1.106607e+00	nan	nan
4.590000e-01	1.089635e+00	nan	nan
4.600000e-01	1.068001e+00	nan	nan
4.610000e-01	1.041936e+00	nan	nan
4.620000e-01	1.011716e+00	nan	nan
4.630000e-01	9.776539e-01	nan	nan
4.640000e-01	9.401005e-01	nan	nan
4.650000e-01	8.994373e-01	nan	nan
4.660000e-01	8.560741e-01	nan	nan
4.670000e-01	8.104443e-01	nan	nan
4.680000e-01	7.630005e-01	nan	nan
4.690000e-01	7.142101e-01	nan	nan
4.700000e-01	6.645505e-01	nan	nan
4.710000e-01	6.145046e-01	nan	nan
4.720000e-01	5.645562e-01	nan	nan
4.730000e-01	5.151853e-01	nan	nan
4.740000e-01	4.668638e-01	nan	nan
4.750000e-01	4.200508e-01	nan	nan
4.760000e-01	3.751889e-01	nan	nan
4.770000e-01	3.326996e-01	nan	nan
4.780000e-01	2.929798e-01	nan	nan
4.790000e-01	2.563984e-01	nan	nan
4.800000e-01	2.232926e-01	nan	nan
4.810000e-01	1.939650e-01	nan	nan
4.820000e-01	1.686810e-01	nan	nan
4.830000e-01	1.476664e-01	nan	nan
4.840000e-01	1.311052e-01	nan	nan
4.850000e-01	1.191381e-01	nan	nan
4.860000e-01	1.118611e-01	nan	nan
4.870000e-01	1.093250e-01	nan	nan
4.880000e-01	1.115346e-01	nan	nan
4.890000e-01	1.184489e-01	nan	nan
4.900000e-01	1.299816e-01	nan	nan
4.910000e-01	1.460023e-01	nan	nan
4.920000e-01	1.663373e-01	nan	nan
4.930000e-01	1.907720e-01	nan	nan
4.940000e-01	2.190531e-01	nan	nan
4.950000e-01	2.508910e-01	nan	nan
4.960000e-01	2.859632e-01	nan	nan
4.970000e-01	3.239174e-01	nan	nan
4.980000e-01	3.643753e-01	nan	nan
4.990000e-01	4.069365e-01	nan	nan
5.000000e-01	4.511827e-01	nan	nan
5.010000e-01	4.966819e-01	nan	nan
5.020000e-01	5.429929e-01	nan	nan
5.030000e-01	5.896695e-01	nan	nan
5.040000e-01	6.362651e-01	nan	nan
5.050000e-01	6.823371e-01	nan	nan
5.060000e-01	7.274513e-01	nan	nan
5.070000e-01	7.711858e-01	nan	nan
5.080000e-01	8.131353e-01	nan	nan
5.090000e-01	8.529150e-01	nan	nan
5.100000e-01	8.901640e-01	nan	nan
5.110000e-01	9.245488e-01	nan	nan
5.120000e-01	9.557665e-01	nan	nan
5.130000e-01	9.835474e-01	nan	nan
5.140000e-01	1.007658e+00	nan	nan
5.150000e-01	1.027901e+00	nan	nan
5.160000e-01	1.044121e+00	nan	nan
5.170000e-01	1.056201e+00	nan	nan
5.180000e-01	1.064069e+00	nan	nan
5.190000e-01	1.067691e+00	nan	nan
5.200000e-01	1.067080e+00	nan	nan
5.210000e-01	1.062286e+00	nan	nan
5.220000e-01	1.053406e+00	nan	nan
5.230000e-01	1.040572e+00	nan	nan
5.240000e-01	1.023957e+00	nan	nan
5.250000e-01	1.003771e+00	nan	nan
5.260000e-01	9.802565e-01	nan	nan
5.270000e-01	9.536899e-01	nan	nan
5.280000e-01	9.243749e-01	nan	nan
5.290000e-01	8.926414e-01	nan	nan
5.300000e-01	8.588410e-01	nan	nan
5.310000e-01	8.233439e-01	nan	nan
5.320000e-01	7.865347e-01	nan	nan
5.330000e-01	7.488087e-01	nan	nan
5.340000e-01	7.105673e-01	nan	nan
5.350000e-01	6.722146e-01	nan	nan
5.360000e-01	6.341525e-01	nan	nan
5.370000e-01	5.967774e-01	nan	nan
5.380000e-01	5.604756e-01	nan	nan
5.390000e-01	5.256198e-01	nan	nan
5.400000e-01	4.925654e-01	nan	nan
5.410000e-01	4.616470e-01	nan	nan
5.420000e-01	4.331754e-01	nan	nan
5.430000e-01	4.074344e-01	nan	nan
5.440000e-01	3.846783e-01	nan	nan
5.450000e-01	3.651297e-01	nan	nan
5.460000e-01	3.489773e-01	nan	nan
5.470000e-01	3.363748e-01	nan	nan
5.480000e-01	3.274390e-01	nan	nan
5.490000e-01	3.222492e-01	nan	nan
5.500000e-01	3.208471e-01	nan	nan
5.510000e-01	3.232360e-01	nan	nan
5.520000e-01	3.293816e-01	nan	nan
5.530000e-01	3.392122e-01	nan	nan
5.540000e-01	3.526201e-01	nan	nan
5.550000e-01	3.694626e-01	nan	nan
5.560000e-01	3.895637e-01	nan	nan
5.570000e-01	4.127162e-01	nan	nan
5.580000e-01	4.386837e-01	nan	nan
5.590000e-01	4.672036e-01	nan	nan
5.600000e-01	4.979891e-01	nan	nan
5.610000e-01	5.307327e-01	nan	nan
5.620000e-01	5.651093e-01	nan	nan
5.630000e-01	6.007793e-01	nan	nan
5.640000e-01	6.373919e-01	nan	nan
